text;label
"Прием телефонных звонков;";1
"Ведение делопроизводства (регистрация входящей и исходящей корреспонденции, копирование документов, отправка почтой РФ);";1
"Прием первичных кадровых документов соискателей, копирование и др.;";1
Протоколирование.;1
 оприходование запасных частей и услуг, ;0
 сверка расчетов с контрагентами, ;0
 списание ТМЦ, ;0
 авансовые отчёты, ;0
 сверка расчетов с контрагентами ;0
 Осуществление и строгий контроль за соблюдением сроков подготовки приказов по вопросам стипендиального обеспечения. ;0
 Организация и проведение плановых мероприятий по работе с обучающимися в сфере стипендиального и социального обеспечения. ;0
 Подготовка статистических отчетов, справок и материалов информационно-аналитического характера. ;1
 Подготовка ответов на запросы юридических и физических лиц в рамках своей деятельности. ;0
 Оформление документов по закупкам по профилю деятельности. ;1
 Сопровождение учебного процесса в соотвествии с норативными актами (сопровождение оценки текущей успеваемости и промежуточной аттестации, учет индивидуальных результатов учебных достижений обучающихся, контроль за реализацией учебного процесса, организация перезачета индивидуальных результатов обучения). ;0
Продажа цветочной и сувенирной продукции, оформление букетов, составление композиций.;0
Администрирование личных кабинетов на маркетплейсах.;1
Взаимодействие с менеджерами компании по товару, логистике.;0
Мониторинг изменений правил на маркетплейсах.;1
Анализ рынка товаров и продаж, цен относительно конкурентов.;1
Анализ отзывов о товарах и их влияние на продажи.;1
Продвигать и развивать социальные сети (2 аккаунта Инстаграм), ВК, telegram;0
"Постоянный поиск новых вариантов для продвижения;";0
"Создание контент-плана и ежедневное наполнение соц. сетей;";0
"Настройка таргетной рекламы;";0
"Производство и адаптация продающего контента;";0
"Прием ценных грузов со склада, сопровождение груза до места назначения;";0
"Обеспечение необходимого режима хранения и сохранности грузов при транспортировке;";0
"Оформление приемо - сдаточной документации. При необходимости участие в составлении актов на недостачу, порчу грузов, и других документов;";1
Соблюдение правил Внутреннего трудового распорядка и норм охраны труда, техники безопасности и противопожарной защиты.;0
" Планирование рабочего дня руководителя, назначение встреч, приготовление чая / кофе; ";0
" Выполнение личных поручений вашего менеджера; ";0
" Документационное сопровождение работы вашего менеджера, подготовка документов к подписанию; ";1
" Уборка офиса и мест общего пользования; ";0
" Прием входящих звонков, передача сообщений по мере необходимости; ";1
" Подготовка исходящей почты (в том числе больших пакетов для отправки); ";1
" Сортировка и доставление входящей почты соответствующим лицам; ";1
" Управление файловой системой; ";1
" Запись информации по мере необходимости; ";1
" Приветствие арендаторов, клиентов и посетителей, приготовление чая / кофе; ";0
" Обновление документов, ведение документов и обработка текстов; ";1
" Поддержание товарно-материальных запасов офиса; ";0
" Обслуживание оргтехники по мере необходимости; ";0
 Создание, поддержка и ввод информации в базы данных. ;0
Выдача заказов;0
Прием и раскладка товара на складе;0
Прием и оформление возвратов;0
Проверка товара на брак;0
Уборка и поддержание чистоты в пункте выдачи;0
Инвентаризация раз в месяц;0
Обеспечение высокого уровня сервиса клиентам клуба;0
Полное руководство подразделением рецепции клуба;0
Исходящие звонки по теплой базе клиентов клуба;0
Назначение стартовых и персональных тренировок;0
Консультирование клиентов по возможности получения услуг клуба;1
Работа с жалобами клиентов;0
Работа в CRM, отчетность;1
Соблюдение бизнес-процессов, технологий продаж и стандартов сервиса;0
" встреча пациентов клиники; ";0
" оформление первичной медицинской документации; ";1
" работа в тандеме с врачами клиники; ";0
" решение конфликтных ситуаций; ";0
" знание кассовой дисциплины; ";0
" Знание налогового и трудового законодательства, а также законодательно-нормативных актов, касающихся расчета заработной платы; ";0
" Уверенный пользователь 1С; ";0
" Умение работать с большим объемом информации; ";0
" Способность работать с различными программами; ";0
" Расчет заработной платы в полном объеме (отпускные, больничные листы, пособия по уходу за ребенком, работа с исполнительными листами и т.д.); ";1
" Подготовка документов на перечисление заработной платы (платежные ведомости); ";1
" Начисление налогов и взносов на ФОТ; ";1
" Формирование отчетности в социальные фонды, ИФНС, Росстат; ";1
выполнение ремонта автомобилей;0
содержание в чистоте рабочего места и помещения;0
техническое обслуживание автотранспорта и спецтехники разборка ремонт сборка регулировка и испытание агрегатов узлов и приборов ;0
определять и устранять неисправности в работе узлов механизмов приборов;0
проводить ремонт кпп ркп бортовых редукторов выполнять регулировочные работы;0
диагностика неисправностей автомобилей прибывших на то и тр;0
установка дополнительного оборудования на тс;0
диагностика электрооборудования грузовых атомобилей;1
выполнение работ по ремонту и обслуживанию грузовых автомобилей и спецтехники;0
выпуск спецтехники на линию на нефтегазовом месторождении;0
контроль и выполнение ремонта спецтехники;0
диагностика и ремонт тс;1
выполнение работ по ремонту оборудования;0
то мелкосрочка замена техжидкостей фильтров на легковых авто мультибренд;0
осмотр автомобиля и определение поломки;0
плановое техническое обслуживание автомобилей ;0
ремонт всех видов легковых автомобилей;0
ремонт грузовых автомобилей ;0
ремонт и сборка дизельных специальных грузовых автомобилей;0
разборка ремонт сборка сложных агрегатов узлов и приборов и замена их при техническом обслуживании;0
обкатка автомобилей и автобусов всех типов на стенде;0
выявление и устранение дефектов неисправностей в процессе регулировки и испытания агрегатов узлов и приборов и тд;0
скользящий режим работы с до часов;0
официальное трудоустройство выдача спецодежды;0
работа в теплом помещении;0
персональная скидка на ремонт личного автомобиля;0
работа в активно развивающейся компании;0
подготовка окраска автодеталей соблюдение технологий знание материалов;0
порядок на рабочем месте самодисциплина;0
разборочно сборочные работы;0
жестяные работы ;0
подготовка к окраске;0
ремонт кабин грузовых автомобилей;0
ремонт и обслуживание автомобилей ;0
проведение работ по ремонту и обслуживанию;0
проведение восстановительных работ в аварийных случаях;0
монтирует новые и восстановленные шины полученные со склада автотранспортного предприятия накачивает их воздухом до установленной нормы давления производит демонтаж и монтаж эксплуатирующихся шиннакачивает их воздухом до установленной нормы давления проверяет исправность ободьев дисков бортовых и замочных колец исправляет мелкие повреждения подбирает шины на сдвоенные колеса с учетом размера модели конструкции высоты рисунка протектора производит замену неисправных золотников вентилей камер при необходимости прогоняет резьбу вентилей метчиком производит статическую или динамическую балансировку колес в сборе ;0
работа на строительстве автомобильных дорог;0
техническое обслуживание;0
диагностика;0
текущий и капитальный ремонт автомобилей;0
текущий ремонт и обслуживание легковых автомобилей;0
поддержание чистоты на рабочем месте;0
ремонт дорожностроительной техники;0
выявление причин и устранение неисправностей;0
выполнение работ по ремонту грузовых автомобилей;0
проведение осмотра и диагностики состояния автотранспорта предприятия;0
техническое обслуживание и ремонт автомобилей;0
замена расходников подвески;0
замена колодок;0
замена подшипников ступицы;0
" Работа с табелями учета рабочего времени; ";1
 Оформление различных справок сотрудникам. ;1
Консультирование посетителей по услугам центра, выполнение стандартов работы по обслуживанию посетителей.;0
"Маршрутизация пациентов;";1
"Работа с медицинскими картами;";1
"Составление и ведение списка пациентов;";1
"Контроль порядка и чистоты в зале ожидания;";0
Ведение отчетности...;1
Управление областью хозяйственного обеспечения деятельности предприятия.;0
Обеспечение хранения соответствующих хозяйственных ценностей.;0
Мониторинг ситуации на рынке с хозяйственными товарами, стройматериалами, закупаемыми для нужд предприятия.;1
Представление предприятия во взаимодействии с контрагентами в сфере закупок соответствующих товаров и их последующего обслуживания.;0
Мониторинг достаточности количества хозяйственных товаров и строительных материалов, а также проведение их своевременных закупок.;1
Взаимодействие с другими подразделениями предприятия по вопросам их заявок на закупку соответствующих хозяйственных товаров и строительных материалов.;1
Руководство работой персонала, занятого в сфере хозяйственного обеспечения предприятия.;0
Знание марок и особенностей востребованного предприятием хозяйственного инвентаря и строительных материалов.;0
Отслеживание корректности бухгалтерской документации в сфере хозяйственного обслуживания предприятия.;1
Соблюдение принципов документооборота в своей сфере ответственности.;1
Участие в мероприятиях по инвентаризации в своей зоне ответственности.;0
Наблюдение за соблюдением правил пожарной и технической безопасности в своей сфере ответственности.;0
Выполнение правомочных указаний руководства предприятия в пределах своей ответственности.;0
официальное трудоустройство;0
Контроль за правильностью оформления хозяйственных операций с учетом взаимодействия юридических лиц внутри группы компаний;1
Контроль за соблюдением порядка документооборота;1
Методическая помощь сотрудникам бухгалтерии и иных подразделений компании в документальном оформлении операций в соответствии с заключенными хозяйственными договорами;1
Участие в проведении аудиторских и инвентаризационных мероприятий;0
Участие в проведении расчетов с контрагентами, проверка актов сверки;0
Тесное взаимодействие с производственно-техническим отделом (ПТО) по распределению расходов по объектам строительства;0
Ведение сводного платежного календаря по трем юридическим лицам (в части регулярных, обязательных платежей);0
Совместное с непосредственным руководителем ведение БДДС, БДР;0
Участие вместе с главными бухгалтерами предприятий в подготовке документов для лизинговых компаний, банков для ежеквартального финансового мониторинга, при заключении сделок;1
Активное участие в реализации проектов по автоматизации процессов учета, совместном с непосредственным руководителем составлении регламентов, инструкций;0
Участие в адаптации данных бухгалтерского учета для системы управленческого учета под требования бизнеса;0
Обеспечение руководителей предприятия, финансового директора, руководителей подразделений информационно-аналитической поддержкой для принятия решений;0
Выполнение отдельных служебных поручений финансового директора, руководителей предприятия;0
Обучения и развитие(возможен карьерный рост);0
Ведение бухгалтерского, налогового и кадрового учёта;0
Организация документооборота;1
Составление и сдача отчетности;0
Анализ финансовых показателей;1
Формирование платёжных поручений;1
Формирование актов сверки с контрагентами;0
Представление интересов в контролирующих органах;0
Проверка учета на наличие ошибок;1
Оценка налоговых рисков с последующими рекомендациями по их снижению;1
Отчёты и сводная информация руководителю;1
Работа с информационно-правовыми базами;1
"Оконченное высшее образование;";0
"Знание бухгалтерского учета и правил ведения первичной документации, навыки работы с 1С Бухгалтерия 8.2-8.3, Системы Диадок, Сбис;";0
Опыт работы от 1 года.;0
Проводим бесплатные обучения флористике С ДАЛЬНЕЙШИМ ТРУДОУСТРОЙСТВОМ В НАШУ СЕТЬ ЦВЕТОЧНЫХ САЛОНОВ!!!;0
"Аудит учетных и сбытовых программных комплексов, внесение предложений по оптимизации с целью внесения/автоматической выгрузки информации в ГИС ЖКХ;";0
"Подготовка, согласование технических решений, участие во внедрении доработок учетных и сбытовых программных комплексов Общества с целью внесения/автоматической выгрузки информации в ГИС ЖКХ;";0
"Проверка полноты и корректности информации, размещенной в учетных и сбытовых программных комплексах Общества, необходимой для внесения сведений в ГИС ЖКХ;";1
"Внесение информации в ГИС ЖКХ в объемах, закрепленных за отделом продаж управления сбыта локальными нормативными актами Общества, документами СМК, в сроки, установленные действующим законодательством РФ;";0
"Проверка и контроль полноты, достоверности, своевременности автоматической выгрузки в ГИС ЖКХ информации в объемах, закрепленных за отделом продаж управления сбыта локальными нормативными актами Общества, документами СМК, в сроки, установленные действующим законодательством РФ;";0
"Аудит законодательства по вопросам, связанным с ГИС ЖКХ, внесение предложений о внесении изменений, разработке новых локальных нормативных актов Общества, документов СМК в целях соблюдения требований законодательства по ГИС ЖКХ;";0
"Участие в разработке и согласовании локальных нормативных актов Общества, документов СМК в целях соблюдения требований законодательства по ГИС ЖКХ;";0
"Взаимодействие, ведение переписки с управляющими, обслуживающими организациями, органами местного самоуправления, иными органами власти в целях получения необходимой для размещения в ГИС ЖКХ информации в объеме, определенном действующим законодательством РФ, в пределах ответственности отдела продаж управления сбыта;";0
"Обеспечивает ведение отчетности в рамках своего функционала, предоставление отчетов и информации по запросам руководителей Общества;";1
Взаимодействует с технической поддержкой ГИС ЖКХ, при необходимости направлет и контролирует получение ответов на запросы в части работоспособности ГИС ЖКХ;0
"в 2022 году практически каждый второй житель города воспользовался прямыми авиарейсами из Тобольска;";0
"рейсы из Тобольска осуществляют авиакомпании S7 Airlines, Россия, UVT Aero по 7 направлениям: Москва, Санкт-Петербург, Новосибирск, Казань, Красноярск, Сургут, Нижнекамск;";0
в аэропорту работает более 200 сотрудников.;0
"Участие в подготовке технико-коммерческого предложения (проверка актуальности цен в калькуляции;";0
"запросы ТКП у поставщиков арматуры и прочего оборудования;";0
"Выполнение расчетов стоимости разработки КД;";0
"Участие в подготовке отчетности по оценке и анализу продукции, выпускаемой с участием ИЦ;";1
"Приём наличных денежных средств;";0
"Сдача инкассации;";0
"Выдача доверенностей;";0
"Разноска банковской выписки;";0
"Ведение на основе ПКО и РКО кассовой книги;";0
"Составление кассовой отчётности;";1
Выполнение отдельных служебных поручений;0
"обеспечение выпуска на маршруты технически исправного автотранспорта;";0
организация и контроль технического обслуживания и ремонта автотранспорта;0
"взаимодействие с ГИБДД, страховыми компаниями;";0
"формирование заявок на закупку и списание запчастей, ГСМ;";0
выполнение малярных работ;0
очистка с помощью пескоструйного аппарата поверхности строительных конструкций емкостей резервуаров и оборудования;0
своевременное и качественное выполнение производственных заданий;0
содержание оборудования для пескоструйной обработки в исправном состоянии;0
соблюдать трудовую дисциплину;0
соблюдать меры по безопасности труда поддерживания порядка выполнение правил пожарной безопасности на рабочем месте;0
подготовка к окраске с применением шлифинструмента;0
нанесение эмали на грунтованную поверхность;0
безвоздушная покраска краскопультом;0
качественное выполнение поставленных задач;0
поддержание чистоты на рабочем месте;0
своевременное выполнение;0
производить покраску деталей автомобиля;0
абразивная полировка;0
соблюдение технологического процесса;0
подготовка продукции к покраске;0
покраска мк комплектующих входных групп;0
производить подготовку деталей автомобиля к покраске;0
абразивная полировка;0
соблюдение технологического процесса;0
периодический осмотр технического состояния обслуживаемых зданий сооружений;0
текущий ремонт с выполнением врех видов ремонтностроительных работ ;0
сезонная подготовка обслуживаемых зданий сооружений оборудования и механизмов;0
устранение повреждений и неисправностей по заявкам;0
работа на участке акз;0
пескоструйная очистка и окраска металлоконструкций;0
работа с пескоструйным оборудованием и покрасочным аппаратом;0
окраска изделий из металла;0
окрашивание деталей и поверхностей металлоконструкций электростатическими краскораспылителями;0
нанесение надписей по трафаретам;0
нанесение цифр и букв без трафаретов;0
обработка поверхностей замедлителями коррозии;0
регулирование подачи воздуха и краски в распылители;0
очистка замкнутых объемов ;0
защита грунтовками листового материала и профильного проката для металлоконструкций;0
изготовление несложных трафаретов;0
составление смесей из нитрокрасок и синтетических эмалей;0
наладка механизмов и приспособлений применяемых в производстве малярных работ;0
пескоструйная очистка обезжиривание обеспыливание поверхности металлоконструкций;0
обработка мк модификатором ржавчины;0
огрунтовка и покраска мк;0
разборка зачистка шпаклевка грунтовка окраска стен окраска поверхности потолка окраска деревянных конструкций ограждения подшивки лестничных маршей и площадок;0
снятие наклейка обоев с последующей их покраской ;0
демонтаж монтаж потолочных листов гквл с зачисткой шпаклевкой грунтовкой и окраской;0
подготовка с дальнейшей окраской межкомнатных дверей;0
пескоструйная очистка обезжиривание обеспыливание поверхности металлоконструкций;0
обработка мк модификатором ржавчины;0
огрунтовка и покраска мк;0
разборка зачистка шпаклевка грунтовка окраска стен окраска поверхности потолка окраска деревянных конструкций ограждения подшивки лестничных маршей и площадок;0
снятие наклейка обоев с последующей их покраской ;0
демонтаж монтаж потолочных листов гквл с зачисткой шпаклевкой грунтовкой и окраской;0
подготовка с дальнейшей окраской межкомнатных дверей;0
покраска мк и труб;0
нанесение антикоррозийной защиты ;0
работа на высоте до м;0
работа в помещении и на открытой площадке;0
гибка деталей из листового металла;0
выполнение лакокрасочных работ методом воздушного распыления;0
составление смеси из красок;0
выполнение грунтования антикоррозийного покрытия грунтовками и красками изделий;0
нанесение знаков и надписей по трафаретам;0
нанесение антисептических пропиток на заготовки из дерева;0
регулировка подачи воздуха и краски в распылители;0
подбор колера по заданным образцам;0
окрашивание поверхностей в труднодоступных местах вручную;0
пескоструйная очистка обезжиривание обеспыливание поверхности металлоконструкций;0
обработка мк модификатором ржавчины;0
огрунтовка и покраска мк;0
разборка зачистка шпаклевка грунтовка окраска стен окраска поверхности потолка окраска деревянных конструкций ограждения подшивки лестничных маршей и площадок;0
снятие наклейка обоев с последующей их покраской ;0
демонтаж монтаж потолочных листов гквл с зачисткой шпаклевкой грунтовкой и окраской;0
подготовка с дальнейшей окраской межкомнатных дверей;0
покраска изделий из металла;0
выполнение лакокрасочных работ методом воздушного распыления;0
составление смеси из красок;0
выполнение грунтования антикоррозийного покрытия грунтовками и красками изделий;0
нанесение знаков и надписей по трафаретам;0
нанесение антисептических пропиток на заготовки из дерева;0
регулировка подачи воздуха и краски в распылители;0
подбор колера по заданным образцам;0
окрашивание поверхностей в труднодоступных местах вручную;0
высококачественное окрашивание поверхностей сухими порошками различными красками и лаками в несколько тонов и отделка поверхностей с шлифованием лакированием и полированием;0
торцевание и флайцевание окрашенных поверхностей;0
окрашивание после грунтования поверхностей методом холодного безвоздушного распыления;0
определение качества применяемых лакокрасочных материалов;0
наладка механизмов применяемых в производстве малярных работ;0
финансовое планирование формирование бдпс годовых и месячных на основе данных pl внутренних сводных заявок оборотных ведомостей;0
формирование оборотного капитала лимитов дебиторской и кредиторской задолженности составление прогноза оборачиваемости задолженности анализ и контроль фактического выполнения показателей;0
анализ закупочной документации договоров на предмет наличия кредитного риска осуществления документарных операций соблюдения требований лнд ведение аналитической информации и контроль своевременного исполнения обязательств по данным сделкам;0
полный цикл сопровождения документарных операций ;1
разработка лнд в области финансов ;0
бухгалтерия с;0
работа с банком;0
первичная документация;1
движение денежных средств осужденных;1
развитие продаж платежных сервисов;0
организация работы по привлечению и обслуживанию клиентов;0
осуществление стажировки подбора адаптации введение в должность и вывод на выполнение поставленных целей и задач новых сотрудников;0
осуществление руководства и контроля за работой сотрудников в рамках определенной территории;0
постановка задач мотивация обучение промежуточный и финальный контроль с целью выполнения целей сотрудниками в рамках определенной территории;0
выполнение личного плана продаж;0
казначейство ;0
составление бддс ;0
составление платежных календарей;1
анализ финансовохозяйственной деятельности;1
расчет финансовых показателей;1
работа с лизинговыми компаниями;0
финансирование инвестиционных проектов;0
"Разъездная работа (90% времени в «полях) на удобном маршруте;";0
"Прием, регистрация, размещение и выписка гостей;";1
"Прием и оформление необходимых документов;";1
"Прием и обработка заявок на предварительное бронирование номеров по телефону, почте и т.д.;";1
"Обеспечение работы по эффективному и культурному обслуживанию гостей, созданию для них комфортных условий;";0
"Соблюдение стандартов работы в гостиничной сфере;";0
"Информирование проживающих в гостинице о предоставляемых дополнительных услугах, прием заказов на их выполнение и контролирование их исполнения;";1
Оперативное и корректное реагирование на информацию от гостя;0
Ведение кадрового делопроизводства в полном объёме (прием, увольнение, перевод);0
Своевременная отчетность;1
"обеспечение выпуска на маршруты технически исправного автотранспорта;";0
организация и контроль технического обслуживания и ремонта автотранспорта;0
"взаимодействие с ГИБДД, страховыми компаниями;";0
"формирование заявок на закупку и списание запчастей, ГСМ;";0
"анализ затрат на автотранспорт;";0
контроль соблюдения стандартов работы компании;0
"Обслуживание IT инфраструктуры предприятия (серверы, компьютеры, оргтехника, сетевое оборудование, программы рабочие);";0
"Базовая диагностика сетевых проблем;";0
выкладка товара;0
оценивает товарный запас конкретных позиций, проводит мониторинг и пополнение остатков;0
общение с поставщиками дистанционно;0
"Ежедневный осмотр технического состояния автомобиля;";0
"Доставка бригады на объект;";0
Выполнение поставленных задач по уборке территории.;0
"Разработка desktop-приложений / web-приложений;";0
"Оптимизация/доработка/сопровождение существующего ПО;";0
"Осуществление библиотечного обслуживания пользователей;";0
"Организация культурно-массовых мероприятий;";0
"Организация выставок, раскрывающих библиотечный фонд и другие информационные ресурсы, в традиционном и цифровом формате;";0
"Наполнение и актуализация информации в социальных сетях структурного подразделения (библиотеки);";0
"Своевременное и достоверное заполнение обязательной отчетности;";1
"Участие в районных, областных, Всероссийских мероприятиях;";0
"Участие в проектной деятельности;";0
Повышение профессионального уровня.;0
Приём заявок на поставку продукции от клиентов и торговых представителей Общества.;1
Своевременная выписка накладных и счетов-фактур, а также соответствующих сопроводительных документов.;1
Строгая проверка правильности и соответствия оформления сопроводительных документов согласно законодательству РФ и внутренним правилам предприятия.;1
Систематизация, архивация и хранение отгруженных, верно оформленных и исправленных накладных и счетов-фактур согласно установленному порядку в Обществе.;1
Осуществляет надзор за содержанием здания аэровокзала, его общественных и служебных помещений, контролирует работу клининговых компаний по обслуживанию и уборке аэровокзального комплекса, привокзальной площади, обеспечивает контроль за сохранностью материально-технических ценностей;0
выполнение плана продаж (лучшая похвала для супервайзера - выполненный план продаж);0
анализ рынка (анализируем, планируем и получаем результат);1
организация, руководство и контроль работы команды продаж (продажи супервайзера на 80% делает команда);0
"развитие продаж на подотчетной территории (развитие территории - залог выполнения планов и роста продаж);";0
контроль остатков (эффективный контроль остатков - залог успешных продаж);0
"контроль финансовой дисциплины (любой товар или услуга должны быть оплачены);";0
планирование и отчетность (планируем и подводим итоги);1
соблюдение санитарно-эпидемиологического режима;0
помощь врачу при проведении различных видов манипуляций (травматолог-ортопед, нейрохирург, невролог);0
подготовка кабинетов к работе;0
"ведение медицинской документации и отчетности;";1
работа в военном комиссариате;0
доставка хлебобулочных и кондитерских изделий потребителю;0
Руководство производственно-хозяйственной деятельностью цеха. Своевременное обеспечение запчастями и материалами.;0
Производственное планирование и расстановка задач.;0
Эффективная загрузка цеха.;0
Ведение документооборота и деловой переписки в 1с Альфа Авто.;0
Иметь представление о металлообработке, технологиях восстановления узлов и агрегатов, допусках и посадках (не про рассаду)).;0
Работа с рекламациями, предупреждение брака, повышение эффективности труда.;0
"Ответственное отношение к работе;";0
Исполнительность.;0
"Оперативное управление деятельностью предприятия;";0
"Обеспечение функционирования животноводства на ферме в рамках не ниже, чем предусмотрено экономическими (физическими и стоимостными), технологическими параметрами, заложенных в бюджет доходов и расходов предприятия;";0
"Управление молочной фермой, сыроварней (2 000 голов КРС);";0
"Закупка сельскохозяйственной техники, контроль эксплуатации;";0
" Проведение мероприятий по повышению эффективности деятельности животноводства (при необходимости существенных изменения в бюджете - по предварительному согласованию с генеральным директором); ";0
" Планирование и отчетность по критериям и показателям работы животноводства и растениеводства; ";1
" Взаимодействие с органами государственной власти и местного самоуправления, надзорными и правоохранительными органами; ";0
 Управление персоналом предприятия. ;0
принимать звонки, вести заявки, отвечать на письма и вести переписку в мессенджерах;1
заносить информацию о гостях в программу;1
оформлять заезд и выезд гостей, производить расчет с гостями;1
контроль состояния объектов перед заселением и после выселения гостей;0
консультация гостей по возникающим вопросам;1
координация всех служб комплекса;1
организация культурно-массовых мероприятий;0
закупка бытовой химии и пр.;0
"Ведение документооборота организации, регистрация, отправка и получение корреспонденции, работа с курьерскими службами;";1
"Сопровождение командировок руководящего состава (покупка билетов, размещение в гостинице, трансфер);";0
Административно-хозяйственные функции офиса: заказ канцтоваров, расходных материалов, контроль работы оргтехники, встреча гостей.;0
Контроль работы уборщиц, водителей (работать с заявками на перевозку и доставку до места назначения работников, документов и грузов;1
"Организация представительских мероприятий (подготовка и проведение встреч, совещаний, ведение протоколов);";0
"Организация корпоративных мероприятий;";0
"Выбирать сувенирную и подарочную продукцию в соответствии с категорией мероприятия и особенностями получателей;";0
"Поддерживать положительный имидж компании у посетителей, партнеров и клиентов;";0
Предупреждать и разрешать конфликтные ситуации, применять медиативные технологии;0
"Копирование, сканирование документов по запросу сотрудников;";1
Оценивать техническое состояние мебели, офисного и бытового оборудования.;0
"водительское удостоверение (категория В);";0
Выдача посылок, прием посылок, оформление и отправка возвратов;0
Вежливая работа с покупателями;0
Оформление по ТК РФ;0
Корпоративное обучение;0
" ведение документооборота компании; ";1
" деловая переписка; ";0
" подготовка отчётов по своему направлению работы; ";1
" приём, регистрация, распределение входящей корреспонденции; ";1
" выполнение личных поручений руководства; ";0
" встреча гостей, клиентов, деловых партнёров; ";0
" приём входящих звонков и совершение исходящих звонков поставщикам, запрос коммерческих предложений; ";1
" составление договоров; ";1
 ведение контрактов. ;0
Управление транспортным средством 4х4 ( Митсубиши Л200, Нива, УАЗ Патриот);0
Доставка сотрудников, оборудования фирмы по производственным объектам;0
Контроль технического состояния автомобиля, мелкий ремонт;0
Заполнение путевых листов, прохождение предрейсового мед осмотра;1
Имеете отличные коммуникативные навыки;0
Любите животных.;0
Обладаете практическим опытом работы в продажах;0
Умеете работать с кассой;0
Легко и быстро усваиваете новую информацию;0
Доброжелательны, внимательны и дисциплинированы;0
Стрессоустойчивы, умете быстро принимать решения;0
Хотите работать в команде и выступать от лица всей клиники.;0
Встреча гостя;0
Размещение гостя;0
Бронирование столов;1
Работать с каталогами компаний;  ";1
Добавлять фото и видео, тексты, работать с отзывами; ";1
Анализировать карточки конкурентов, анализировать в каких еще каталогах размещены конкуренты. ;1
Осуществлять своевременную регистрацию входящих и исходящих документов в системе электронного документооборота, действующей на предприятии.;1
Организовать работу по регистрации, учету, хранению и передаче в соответствующие структурные подразделения документов текущего делопроизводства.;1
Обеспечить сохранность полученных документов и информации.;1
По поручению руководителя составлять проекты писем, справки, отчеты и другие документы;1
Осуществлять контроль за своевременным исполнением поручений руководителя.;0
"Python на бэкенде, взаимодействие через GraphQL и REST API;";0
